,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand,Model,Age,new_price_num
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,2,23.65,1248.0,88.5,5.0,,8.25,Maruti,S Cross,5,
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,3,13.53,1984.0,177.01,5.0,,23.5,Audi,A6 2011-2015,5,
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,3,18.5,1197.0,80.0,5.0,,1.87,Hyundai,i20 1.2,10,
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,3,14.4,1598.0,103.6,5.0,,2.85,Volkswagen,Vento Petrol,10,
25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,3,16.8,1497.0,116.3,5.0,,4.25,Honda,City Corporate,8,
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,3,23.08,1461.0,63.1,5.0,,4.25,Nissan,Micra Diesel,8,
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,2,20.92,998.0,67.1,5.0,,2.75,Maruti,Alto K10,7,
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,3,17.5,1199.0,88.7,5.0,10.57 Lakh,9.9,Honda,WRV i-VTEC,2,10.57
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,0,12.8,2494.0,102.0,7.0,,4.0,Toyota,Innova 2.5,13,
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,3,19.01,1461.0,108.45,5.0,,7.75,Renault,Duster 110PS,7,
31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,3,14.53,1798.0,138.1,5.0,,6.75,Toyota,Corolla Altis,8,
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,2,11.18,2696.0,184.0,7.0,,12.5,Mahindra,Ssangyong Rexton,7,
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,3,12.4,2698.0,179.5,5.0,,11.5,Audi,A6 2.7,10,
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,2,16.09,1598.0,103.5,5.0,12.33 Lakh,6.98,Volkswagen,Vento 1.6,6,12.33
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,2,14.0,1061.0,64.0,5.0,,1.85,Maruti,Wagon R,11,
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,3,24.3,1248.0,88.5,5.0,11.12 Lakh,8.63,Maruti,Vitara Brezza,2,11.12
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,3,18.15,1198.0,82.0,5.0,,4.85,Mahindra,KUV 100,3,
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,3,11.74,2987.0,254.8,5.0,,28.0,Mercedes-Benz,M-Class ML,7,
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,,5.0,Volkswagen,Polo Diesel,7,
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,2,19.7,796.0,46.3,5.0,,1.25,Maruti,Alto LXi,12,
41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,3,25.4,624.0,37.5,4.0,,1.53,Tata,Nano LX,6,
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,3,25.32,1198.0,77.0,6.0,,5.58,Mahindra,KUV 100,3,
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,3,18.5,1197.0,82.9,5.0,,4.74,Hyundai,i20 Magna,6,
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,3,14.62,1999.0,149.92,5.0,23.64 Lakh,8.85,Hyundai,Elantra 2.0,6,23.64
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,3,14.28,1798.0,138.03,5.0,,10.11,Toyota,Corolla Altis,4,
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,2,14.9,1991.0,112.2,5.0,,4.25,Hyundai,Elantra CRDi,12,
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,3,11.25,2694.0,163.7,7.0,18.64 Lakh,10.95,Toyota,Innova Crysta,8,18.64
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,3,24.4,1120.0,71.0,5.0,,3.85,Hyundai,Xcent 1.1,6,
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,2,16.55,2498.0,105.0,6.0,,5.5,Mahindra,Thar CRDe,8,
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,,21.43,Audi,A4 2.0,5,
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,,4.25,Maruti,Swift LDI,6,
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,3,17.8,1248.0,75.0,5.0,,3.3,Maruti,Swift Ldi,6,
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,3,28.4,1248.0,74.0,5.0,,3.85,Maruti,Swift VDI,7,
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,1,18.9,1197.0,82.0,5.0,,3.6,Hyundai,Grand i10,5,
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,3,15.04,1598.0,103.2,5.0,,3.99,Volkswagen,Vento 2013-2015,5,
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,3,25.17,799.0,53.3,5.0,,3.3,Renault,KWID RXT,3,
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,,2.07,Hyundai,i10 Asta,10,
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,3,13.29,1995.0,147.6,5.0,,7.75,Nissan,X-Trail SLX,10,
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,3,18.2,998.0,67.1,5.0,,2.25,Maruti,Zen Estilo,10,
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,3,13.68,2393.0,147.8,8.0,19.34 Lakh,16.5,Toyota,Innova Crysta,3,19.34
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,,2.75,Ford,Figo Diesel,10,
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,3,11.74,1796.0,186.0,5.0,,26.7,Mercedes-Benz,New C-Class,5,
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,2,15.8,2148.0,170.0,5.0,,10.0,Mercedes-Benz,New C-Class,9,
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,3,25.0,1396.0,69.0,5.0,,2.5,Tata,Indica V2,4,
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,3,16.55,1968.0,140.0,5.0,,13.5,Audi,A4 2.0,8,
66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,2,16.4,1497.0,78.0,5.0,,1.85,Honda,City ZX,13,
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,3,,1950.0,194.0,5.0,49.14 Lakh,35.67,Mercedes-Benz,C-Class Progressive,1,49.14
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,3,24.52,1248.0,88.5,7.0,,8.15,Maruti,Ertiga SHVS,4,
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,3,22.1,1396.0,88.7,5.0,11.81 Lakh,10.5,Hyundai,Creta 1.4,2,11.81
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,3,8.5,4806.0,500.0,5.0,,14.5,Porsche,Cayenne 2009-2014,12,
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,3,15.1,2179.0,140.0,7.0,,9.65,Mahindra,XUV500 W8,5,
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,3,16.95,1197.0,78.9,5.0,,3.48,Hyundai,i10 Sportz,8,
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,3,19.64,1461.0,108.5,5.0,16.65 Lakh,6.92,Nissan,Terrano XV,5,16.65
74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,2,16.5,1198.0,86.8,5.0,,6.46,Honda,Brio VX,4,
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,2,18.53,1968.0,187.74,5.0,,29.5,Audi,A6 2.0,6,
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,3,17.8,1399.0,,5.0,,2.0,Ford,Fiesta 1.4,12,
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,1,12.4,1998.0,132.0,8.0,,4.5,Toyota,Innova 2.0,14,
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,,11.75,Toyota,Innova 2.5,8,
79,Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,3,,1086.0,,5.0,,1.3,Hyundai,Santro Xing,15,
80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,3,22.9,1248.0,74.0,5.0,,3.75,Maruti,Swift VDI,8,
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,3,17.57,1193.0,88.7,5.0,6.67 Lakh,4.5,Tata,Zest Revotron,3,6.67
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,3,18.0,1198.0,86.7,5.0,,4.82,Honda,Amaze SX,4,
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,3,20.0,1399.0,68.0,5.0,,2.8,Ford,Figo Diesel,8,
84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,3,23.2,1248.0,73.94,5.0,,3.11,Maruti,Ritz VDi,7,
85,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,3,17.8,1497.0,117.3,5.0,,3.25,Honda,City i,11,
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,2,16.73,1995.0,218.0,5.0,,13.9,BMW,5 Series,9,
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,3,20.36,1197.0,78.9,5.0,,2.25,Hyundai,i10 Sportz,11,
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,,5.75,Hyundai,Grand i10,4,
89,Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,3,17.0,1086.0,,5.0,,2.1,Hyundai,Santro Xing,13,
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,3,17.8,1198.0,86.7,5.0,,5.0,Honda,Amaze SX,4,
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,3,13.0,2982.0,168.5,7.0,,16.5,Toyota,Fortuner 4x2,6,
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,,39.58,Audi,A6 2011-2015,2,
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,3,22.7,1498.0,89.84,5.0,,5.5,Ford,Ecosport 1.5,7,
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,3,15.1,2179.0,140.0,7.0,,8.1,Mahindra,XUV500 W8,6,
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,,3.5,Honda,Amaze SX,5,
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,3,22.07,1199.0,73.9,5.0,,2.79,Volkswagen,Polo Diesel,7,
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,3,16.2,1493.0,110.0,5.0,,3.45,Hyundai,Verna Transform,10,
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,3,18.9,998.0,67.1,5.0,,4.45,Maruti,Wagon R,4,
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,3,15.26,1598.0,103.5,5.0,,2.65,Volkswagen,Polo Petrol,10,
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,2,23.0,1396.0,90.0,5.0,,3.8,Hyundai,i20 1.4,9,
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,3,18.5,1197.0,82.85,5.0,,4.65,Hyundai,i20 Asta,6,
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,3,19.83,1198.0,67.0,7.0,6.45 Lakh,3.95,Datsun,GO Plus,3,6.45
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,3,14.94,2967.0,241.4,5.0,,9.8,Audi,A4 3.0,10,
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,2,17.0,1197.0,80.0,5.0,,2.7,Hyundai,i20 2015-2017,11,
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,3,14.0,796.0,35.0,5.0,,2.41,Maruti,Omni 5,10,
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,3,17.71,1197.0,78.9,5.0,6.41 Lakh,3.9,Toyota,Etios Liva,6,6.41
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,2,14.74,2993.0,270.9,5.0,,24.0,Jaguar,XF 3.0,9,
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,2,16.0,2179.0,140.0,7.0,,5.75,Mahindra,XUV500 W8,8,
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,3,22.32,1582.0,126.32,5.0,,5.25,Hyundai,Verna 1.6,6,
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,3,11.36,2755.0,171.5,7.0,27 Lakh,19.25,Toyota,Innova Crysta,3,27.0
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,3,15.1,1196.0,73.0,5.0,5.13 Lakh,3.91,Maruti,Eeco 5,3,5.13
112,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,3,25.4,624.0,37.5,4.0,,2.15,Tata,Nano Twist,6,
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,54.43 Lakh,20.75,BMW,3 Series,5,54.43
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,3,13.5,1799.0,130.0,5.0,,3.35,Honda,Civic 2006-2010,10,
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,,11.11,Toyota,Innova 2.5,6,
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,3,23.3,1984.0,150.0,5.0,,20.0,Volvo,V40 Cross,6,
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,3,19.15,1198.0,75.94,5.0,9.51 Lakh,6.55,Nissan,Micra XV,4,9.51
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,3,10.8,2497.0,215.0,5.0,,7.0,BMW,5 Series,11,
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,3,24.3,1248.0,88.5,5.0,9.96 Lakh,7.5,Maruti,Vitara Brezza,4,9.96
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,2,17.0,1086.0,,5.0,,0.85,Hyundai,Santro Xing,15,
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,2,15.0,2143.0,107.3,5.0,,16.75,Mercedes-Benz,B Class,6,
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,3,22.0,1582.0,126.2,5.0,14.44 Lakh,10.95,Hyundai,Verna CRDi,2,14.44
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,3,18.9,998.0,67.1,5.0,,2.45,Maruti,Wagon R,9,
124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,3,21.9,624.0,37.48,4.0,,3.23,Tata,Nano XTA,3,
125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,3,12.05,2179.0,120.0,8.0,,7.75,Mahindra,Scorpio VLX,6,
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,3,11.7,1796.0,178.0,5.0,,9.35,Mercedes-Benz,New C-Class,11,
127,Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,3,21.01,998.0,58.16,5.0,,3.25,Maruti,Wagon R,7,
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,2,10.8,2354.0,152.0,5.0,,5.25,Honda,CR-V 2.4,13,
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,3,21.21,1498.0,103.2,5.0,,7.25,Volkswagen,Vento 1.5,5,
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,3,20.73,1373.0,91.1,5.0,,7.47,Maruti,Ciaz VXi,3,
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,3,16.0,2179.0,140.0,7.0,,13.25,Mahindra,XUV500 AT,4,
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,3,21.1,1197.0,85.8,5.0,,5.81,Maruti,Ritz VXI,4,
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,3,24.07,998.0,67.1,5.0,4.53 Lakh,2.6,Maruti,Alto K10,6,4.53
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,3,19.0,2996.0,362.07,2.0,95.04 Lakh,54.0,Mercedes-Benz,SLC 43,3,95.04
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,3,17.0,1591.0,121.3,5.0,13.49 Lakh,11.5,Hyundai,Verna VTVT,1,13.49
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,2,19.7,796.0,46.3,5.0,,1.6,Maruti,Alto LXi,10,
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,3,20.58,1995.0,143.0,5.0,,17.22,BMW,1 Series,5,
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,3,19.0,1199.0,88.7,5.0,,6.0,Honda,Jazz 1.2,5,
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,3,13.5,1799.0,130.0,5.0,,3.95,Honda,Civic 2006-2010,8,
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,3,19.27,2143.0,170.0,5.0,,17.95,Mercedes-Benz,New C-Class,6,
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,3,25.8,1498.0,98.6,5.0,,3.7,Honda,Amaze SX,6,
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,3,22.0,1197.0,81.8,5.0,,5.43,Maruti,Swift VVT,4,
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,1,17.0,1086.0,,5.0,,1.67,Hyundai,Santro Xing,12,
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,3,11.5,2982.0,171.0,7.0,,13.49,Toyota,Fortuner 3.0,8,
145,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,3,18.6,1199.0,76.8,5.0,,2.85,Chevrolet,Beat LT,6,
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,3,21.14,1498.0,103.52,5.0,,4.75,Skoda,Rapid 1.5,7,
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,3,20.73,1373.0,91.1,5.0,,9.9,Maruti,Ciaz 1.4,2,
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,3,11.05,2894.0,444.0,4.0,1.28 Cr,37.0,Audi,RS5 Coupe,7,128.0
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,3,21.76,1995.0,190.0,5.0,60.88 Lakh,26.5,BMW,3 Series,6,60.88
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,,23.32,Audi,A4 2.0,5,
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,,6.25,Maruti,Swift VDI,4,
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,3,7.81,5461.0,362.9,5.0,,30.0,Mercedes-Benz,S Class,10,
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,3,21.66,1498.0,103.52,5.0,,9.86,Skoda,Rapid 1.5,4,
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,3,17.2,1968.0,138.1,5.0,,8.5,Skoda,Superb Elegance,8,
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,3,21.1,814.0,55.2,5.0,,4.23,Hyundai,EON Magna,1,
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,3,22.07,1199.0,73.9,5.0,,3.5,Volkswagen,Polo Diesel,8,
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,3,20.63,1198.0,67.06,5.0,,2.5,Datsun,GO NXT,4,
158,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,3,19.4,1198.0,86.8,5.0,,2.39,Honda,Brio S,7,
159,Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,3,14.8,1595.0,120.7,5.0,,11.25,Mercedes-Benz,B Class,7,
160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,3,26.0,1498.0,98.6,5.0,,7.11,Honda,City i,5,
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,,10.9,Toyota,Innova 2.5,4,
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,3,20.4,1197.0,81.8,5.0,,6.2,Maruti,Swift VXI,3,
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,3,15.1,2179.0,140.0,7.0,,7.9,Mahindra,XUV500 W8,8,
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,3,22.7,1498.0,89.84,5.0,,4.42,Ford,Ecosport 1.5,6,
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,3,13.0,2982.0,168.5,7.0,,13.5,Toyota,Fortuner 4x2,8,
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,3,21.5,1498.0,108.5,5.0,,6.25,Volkswagen,Vento 1.5,7,
